SEQ,COUNTRY,RESIDENCE,SEX,AGE,HINCOME,,MARRIAGE,CHILD,JOB,Q33,Q34_JP,,,,,,,,,,,,,,,,,,,,,,,
,国,居住地,性別,年齢,"世帯
収入",HML,未既婚,子どもの有無,職業,最近の、あなたの「食事の風景」,"写真の説明（和訳）
・撮影した食事　・撮影した時期　・時間帯
・どこで　・誰と　・何をしながら　・何を食べたか
・誰が作った料理か、あるいは、どこで買った料理か",写真の内容（栄養成分＆メイン色）,写真URL,写真,カラー１,カラー２,カラー３,カラー４,カラー５,カラー６,カラー７,容量（g）,糖分（g）,塩分（g）,カリウム（mg）,カロリー (kcal),タンパク質 (g),脂肪 (g),炭水化物 (g),繊維 (g),推定人数,料理,推定人数カテゴリ,食事の相手
652,MY,ペタリンジャヤ,男性,18歳,"RM 7,000 - 7,999",2,未婚,いない,大学生（短大含む）、高専生、大学院生,SEQ0652_1.webp,昼食。写真は数週間前に撮ったもので、午後4時ごろに撮った。家族と一緒にいて、私がミートボールとチキンチョップの食事を作った,自家製ミートボール（大豆ミート系）と照り焼き風チキンチョップ、ミルクティー（テータリク風）の組み合わせ。ミートボールは揚げた球状、チキンは焦げ目がついており、スパイシーな味付け。,https://hakuhodo-hill.com/glpe/photos/scenes-of-meals/webp/SEQ0652_1.webp,,#8B6914,#D4A96A,#3D2B1F,#F5F0E8,#C0392B,#E8C97A,#B5651D,550,12,2.8,620,680,42,38,35,4,2,伝統ローカル料理,2人,家族
653,MY,ペタリンジャヤ,男性,19歳,"RM 5,000 - 5,999",2,未婚,いない,大学生（短大含む）、高専生、大学院生,SEQ0653_1.webp,3日くらい前。伝統的な中東の（？）おやつで、乾燥したパンのようなもの。誰かと一緒ではなく一人でお茶を飲みながら食べた,リング状の黄金色の乾燥焼き菓子。中東系の伝統的なビスケットで、カリッとした食感のリング型クッキー。ゴマや小麦粉、油脂を使用したシンプルな焼き菓子と思われる。大量にボウルと袋に入れられている。,https://hakuhodo-hill.com/glpe/photos/scenes-of-meals/webp/SEQ0653_1.webp,,#D4A843,#C8922E,#E8C068,#F0D080,#A87830,#C0C0C0,#FFFFFF,300,18,1.2,210,1200,18,48,168,6,1,多国籍料理,1人,自分
654,MY,クアラ・ルンプール,男性,19歳,"RM 10,000 - 11,999",2,未婚,いない,技術職（エンジニア、プログラマーなど）,SEQ0654_1.webp,私と家族の夕食。昨晩の夕食後の午後9時ごろに撮影した。家族全員でこの食事を楽しみ、スパイシーなグレービーソースと塩漬けの魚のフライをライスと一緒に食べた。母と姉（又は妹）が得意げに作ってくれた。おいしかった,マレーシア家庭料理。スパイシーなグレービーソース（濃い黒褐色のソース）に煮込まれた魚の切り身と、小皿に盛られた塩漬け魚のフライ（イカンビリス風）。香辛料たっぷりの家庭風イカンマサク料理。,https://hakuhodo-hill.com/glpe/photos/scenes-of-meals/webp/SEQ0654_1.webp,,#3D1A0A,#8B3A0F,#C4651A,#F0C060,#F5E6D0,#FFFFFF,#C8A0A0,450,6,3.8,720,420,38,24,14,2,3,伝統ローカル料理,3人,家族
655,MY,クアラ・ルンプール,男性,20歳,"RM 3,500 - 3,999",1,未婚,いない,家業手伝い：その他,SEQ0655_1.webp,私の昼食で、2023年12月1日の写真。午後に撮った。両親と弟と一緒だった。私はYouTubeを見ながら水を飲んでいた。母が作ってくれた,チキンビリヤニ（ナシビリヤニ）。スパイスで炊いたバスマティライスにタンドール風チキンを添え、玉ねぎのライタをトッピング。オレンジ色が鮮やかなマレーシア家庭料理。,https://hakuhodo-hill.com/glpe/photos/scenes-of-meals/webp/SEQ0655_1.webp,,#E8892B,#F4C842,#D4522A,#F5F0E8,#C0392B,#8B4513,#F0E68C,550,6,2.8,620,720,38,22,95,3.5,1,伝統ローカル料理,1人,家族
656,MY,セランゴール州のその他のエリア,男性,20歳,"RM 7,000 - 7,999",2,未婚,いる,大学生（短大含む）、高専生、大学院生,SEQ0656_1.webp,先週、お気に入りのファストフードチェーンのハンバーガーを食べた。自宅でインターネットをしながら食べている,クリスピーフライドチキンバーガー。サクサクに揚げたチキンパティにレタス、オニオンをはさんだバンズ。背景のソースカップからTexas Chickenと推定される。,https://hakuhodo-hill.com/glpe/photos/scenes-of-meals/webp/SEQ0656_1.webp,,#C8860A,#F5DEB3,#8B4513,#5D8A3C,#F5F5F0,#D2691E,#FFFACD,280,8,2.1,380,520,28,24,48,2,1,洋食,1人,自分
657,MY,クアラ・ルンプール,男性,22歳,"RM 5,000 - 5,999",2,未婚,いない,技術職（エンジニア、プログラマーなど）,SEQ0657_1.webp,朝食で、今朝撮影。自宅で家族と一緒に食べた。両親が作ってくれた,ナシレマ：ココナッツミルクで炊いた白米を中心に、サンバルソース、ゆで卵、キュウリ、イカン・ビリス（小魚の揚げ物）、ピーナッツ、レンダン（スパイス煮込み肉）を添えたマレーシアの伝統的な朝食料理,https://hakuhodo-hill.com/glpe/photos/scenes-of-meals/webp/SEQ0657_1.webp,,#F5F0E8,#8B1A1A,#C4782A,#D4A853,#6B3A2A,#4A7C2F,#F0D080,550,6,3.2,620,720,32,35,75,5,1,伝統ローカル料理,1人,家族
658,MY,プトラジャヤ,男性,24歳,"RM 4,500 - 4,999",1,未婚,いる,高校生、浪人生,SEQ0658_2.webp,"夕食
ホステルで食べた
一人で
YouTubeを見ながら
Maggie
自分で作った",マギーミーゴレン（インスタント焼きそば）に目玉焼きをトッピングした一人食。茶色いソースで炒めた縮れ麺に半熟卵が乗り、シンプルながらマレーシアの定番ホステル飯。,https://hakuhodo-hill.com/glpe/photos/scenes-of-meals/webp/SEQ0658_2.webp,,#8B6914,#D4A017,#F5F0E8,#C17D2A,#F4C430,#3D2B1F,#FAEBD7,350,8,2.8,280,520,18,22,65,2.5,1,伝統ローカル料理,1人,自分
659,MY,セパン,男性,26歳,"RM 5,000 - 5,999",2,未婚,いない,管理職（課長クラス以上）,SEQ0659_1.webp,"- ランチ
- 2日前
- 結婚式で
- いとこ
- ランチを食べている
- ライスと肉、野菜、鶏肉
- 結婚式で",マレーシアの結婚式料理。ナシ（白米）、チキンカレー、レンダン風肉料理、サンバル、野菜炒め、スープなど複数のおかずを大皿に盛り合わせた伝統的なマレー式ウェディングフィースト,https://hakuhodo-hill.com/glpe/photos/scenes-of-meals/webp/SEQ0659_1.webp,,#8B1A1A,#D2691E,#F4A460,#FFFAF0,#556B2F,#CD853F,#B22222,1800,18,8.5,1850,1650,72,65,195,12,4,伝統ローカル料理,4人以上,家族
660,MY,カジャン,男性,27歳,"RM 12,000 - 13,999",3,未婚,いない,会社団体役員,SEQ0660_1.webp,"Moktiアイスクリーム
ティータイム
先月2023年12月
バンダースリプトラで
一人で食事",パンダンフレーバーの緑色ソフトクリームに、蜂の巣ハニカム、黒糖タピオカパール、カラメルソースをトッピングしたマレーシアのデザートカップ。,https://hakuhodo-hill.com/glpe/photos/scenes-of-meals/webp/SEQ0660_1.webp,,#4CAF50,#8B4513,#F5C842,#2E7D32,#D4A017,#1A1A1A,#A5D6A7,280,52,0.2,180,380,5,12,65,1,1,伝統ローカル料理,1人,自分
661,MY,クアラ・ルンプール,男性,28歳,"RM 5,000 - 5,999",2,既婚,いる,事務職（教員も含む）,SEQ0661_1.webp,"昼食
2024年1月16日火曜日
午後1時
職場
一人で
ランチタイム
ブラウンシュガーココナッツ入りもち米
妻",ブラウンシュガーとココナッツを添えたもち米（プルット）。オレンジ色のボウルに白いもち米が盛られ、隣の小皿にはブラウンシュガーとすりおろしたココナッツのトッピングが添えられている伝統的なマレーシアのデザート・軽食。,https://hakuhodo-hill.com/glpe/photos/scenes-of-meals/webp/SEQ0661_1.webp,,#F26522,#FFFFFF,#F5F5F0,#5C3A1E,#8B6340,#D4C5A9,#F0EAD6,250,18,0.3,120,320,5,6,62,2,1,伝統ローカル料理,1人,恋人・配偶者
662,MY,クラン,男性,28歳,"RM 14,000 - 15,999",3,未婚,いない,技術職（エンジニア、プログラマーなど）,SEQ0662_1.webp,夕食の時間。韓国料理,韓国風ロゼトッポギまたはラーメン。濃厚なオレンジ色のロゼソース（辛味と生クリームを合わせたソース）に、半熟卵2個、シュレッドチーズ、乾燥ハーブをトッピングした鉄鍋料理。,https://hakuhodo-hill.com/glpe/photos/scenes-of-meals/webp/SEQ0662_1.webp,,#E8621A,#F5A623,#FFFFFF,#F5F0C8,#2C2C2C,#8B7355,#5C8A3C,650,12,3.8,420,680,28,32,72,3,1,韓国料理,1人,自分
663,MY,クアラ・ルンプール,男性,28歳,"RM 8,000 - 8,999",2,既婚,いる,営業・販売職（セールスマン、店員など）,SEQ0663_1.webp,昼食のミートボールスパゲッティ。今日の午後、自分の部屋で家族と一緒に映画を見ながら食べた。家族全員分を私が作った,ミートボールスパゲッティ。トマトソースベースで、大きなミートボールと赤パプリカを合わせたパスタ料理。濃厚なトマトソースがよく絡んでいる。,https://hakuhodo-hill.com/glpe/photos/scenes-of-meals/webp/SEQ0663_1.webp,,#8B3A2A,#C0392B,#D4691E,#F0A070,#2C2C2C,#E8C090,#A0522D,450,8,2.8,720,680,35,28,72,5,1,洋食,1人,家族
664,MY,クラン,男性,28歳,"RM 6,000 - 6,999",2,既婚,いる,技術職（エンジニア、プログラマーなど）,SEQ0664_1.webp,今日の私の昼食。今日、妻と一緒に昼食をとっているときにこの写真を撮った。何もせず、ただ自宅で食べている,クリーミーなホワイトソースがかかったスパゲッティパスタと、骨付きチキン（フライドチキンまたはグリルチキン）を組み合わせた一皿。自家製と思われるクリームパスタ料理。,https://hakuhodo-hill.com/glpe/photos/scenes-of-meals/webp/SEQ0664_1.webp,,#F5DEB3,#D2691E,#FFFAF0,#C8A882,#8B6914,#E8C99A,#F0F0F0,380,4,2.1,420,680,32,28,72,3,1,洋食,1人,恋人・配偶者
665,MY,クアラ・ルンプール,男性,30歳,"RM 4,000 - 4,499",1,既婚,いない,技術職（エンジニア、プログラマーなど）,SEQ0665_1.webp,職場のチームで年次監査のために企業を訪問したときにサプライヤーがごちそうしてくれた料理の写真。アラビア料理。アラビア人シェフが作ったビーフとチキンのサフランライス。シャーアラムにあるレストラン,アラビア料理のケバブプレート。ビーフとチキンの串焼きケバブ2本をサフランライスと白米に添え、グリルトマト、赤キャベツの漬物、チリソースを付け合わせた中東スタイルの一皿。,https://hakuhodo-hill.com/glpe/photos/scenes-of-meals/webp/SEQ0665_1.webp,,#F5C518,#FFFFFF,#8B4513,#D2691E,#CC2200,#4A0020,#2D4A1E,650,4,2.8,720,820,52,22,98,3,1,多国籍料理,1人,同僚
666,MY,クアラ・ルンプール,男性,31歳,"RM 5,000 - 5,999",2,未婚,いない,技術職（エンジニア、プログラマーなど）,SEQ0666_1.webp,昼食。10日前。誰かの誕生日祝い,誕生日のお祝いセット。チョコレートブラウニーケーキ、モチ（ピンク・白）の和菓子風スイーツ、Tealiveのアイスミルクティー飲料が含まれる甘いデザートセット。,https://hakuhodo-hill.com/glpe/photos/scenes-of-meals/webp/SEQ0666_1.webp,,#3B1F0E,#F5E6A3,#E8C4B8,#F8F8F8,#D9534F,#C8A876,#6B8C5A,420,68,0.6,320,780,9,28,118,3,1,多国籍料理,1人,自分
667,MY,セランゴール州のその他のエリア,男性,31歳,"RM 7,000 - 7,999",2,既婚,いる,会社団体役員,SEQ0667_1.webp,大好きなおいしい洋食。妻と子供と一緒に食べている。,左側はバニラアイスクリームとキャラメルソースがかかったフレンチトースト風デザート、右側はゴマと緑のソースが乗った揚げ物料理。小カップに赤いソースが添えられている。,https://hakuhodo-hill.com/glpe/photos/scenes-of-meals/webp/SEQ0667_1.webp,,#C4843A,#F5F0E8,#8B4513,#6B8C3E,#E8D5B0,#CC2200,#F5F5F0,550,42,1.8,380,980,18,48,118,4,2,洋食,2人,家族
668,MY,クアラ・ルンプール,男性,33歳,"RM 9,000 - 9,999",2,既婚,いる,管理職（課長クラス以上）,SEQ0668_1.webp,チキンライス,マレーシア風チキンライス（ナシアヤム）。複数の使い捨てプラスチック容器に盛られた黄色いご飯の上に炭火焼きチキン、きゅうり、トマト、サンバルソースが添えられたセット。,https://hakuhodo-hill.com/glpe/photos/scenes-of-meals/webp/SEQ0668_1.webp,,#D4A843,#8B4513,#F5DEB3,#228B22,#CC2200,#F0E68C,#C19A6B,3600,24,18,2800,3200,180,96,400,16,6,伝統ローカル料理,4人以上,自分
669,MY,ペタリンジャヤ,男性,37歳,"RM 8,000 - 8,999",2,既婚,いる,無職,SEQ0669_1.webp,これは夕食で、午後6時30分頃の夕食時に撮影した。ダイニングテーブルで撮った。配偶者と子どもたちと一緒に食べるいつもの家族の夕食。家庭料理で、他の人にヘルシーな家庭料理という選択肢に注目してほしいと思って撮影した,豆腐・コーン・トマト入りスープ鍋、エビとそら豆の炒め物（サンバル風）、青菜（ほうれん草・チンゲン菜）の炒め物。家庭的な中華系マレーシア料理の夕食セット。,https://hakuhodo-hill.com/glpe/photos/scenes-of-meals/webp/SEQ0669_1.webp,,#E8A030,#F5F0E8,#4A7A3A,#D4522A,#F5E050,#8B4513,#FFFFFF,1800,18,6.5,1850,920,52,28,95,14,4,伝統ローカル料理,4人以上,家族
670,MY,クアラ・ルンプール,男性,37歳,"RM 6,000 - 6,999",2,既婚,いる,事務職（教員も含む）,SEQ0670_1.webp,昼食,白米の上に揚げた丸ごと魚と炒めた玉ねぎ・きのこ・野菜のソース、甘辛いチリソースをかけたマレーシア式定食。ナシラウクスタイルの一皿。,https://hakuhodo-hill.com/glpe/photos/scenes-of-meals/webp/SEQ0670_1.webp,,#F5F0E8,#C8860A,#8B4513,#D2691E,#6B6B3A,#B22222,#A0856C,450,8,2.8,620,680,32,22,88,3.5,1,伝統ローカル料理,1人,自分
671,MY,セランゴール州のその他のエリア,男性,38歳,"RM 7,000 - 7,999",2,既婚,いる,事務職（教員も含む）,SEQ0671_1.webp,"昼食
数日前
自宅で
妻の料理",ナシパダン風の家庭料理。白米にサンバルソース、炒めた青菜（カンクン）、揚げ小魚（イカン・ゴレン）を添えた典型的なマレーシア家庭食。,https://hakuhodo-hill.com/glpe/photos/scenes-of-meals/webp/SEQ0671_1.webp,,#F5F5F0,#4A7C6F,#C8510A,#8B6914,#2D5A3D,#E8D5A0,#B5451B,550,4,3.2,720,620,28,18,85,4.5,1,伝統ローカル料理,1人,恋人・配偶者
672,MY,ペタリンジャヤ,男性,38歳,"RM 20,000 or more",3,未婚,いない,会社団体役員,SEQ0672_1.webp,先週の昼休み。仕事の昼休みにショッピングモールで食べた。韓国料理の定食を食べている,韓国料理定食。フライドチキン、白米、キムチ、ナムル風甘辛ニンジン煮、サラダがセットになった定食。チキンは衣がサクサクで香ばしく揚げられている。,https://hakuhodo-hill.com/glpe/photos/scenes-of-meals/webp/SEQ0672_1.webp,,#C8853A,#F5F0E8,#C0392B,#E8A87C,#8B4513,#F0E68C,#2D5A27,650,12,3.8,720,820,38,32,95,5,1,韓国料理,1人,自分
673,MY,クアラ・ルンプール,男性,40歳,"RM 14,000 - 15,999",3,既婚,いる,会社団体役員,SEQ0673_1.webp,夕食。今日の写真で、自宅で撮った。一人で。このアンケートに回答しながら。ライスと野菜とチキンを食べている。妻が作ってくれた,白米の上にタレで煮込んだチキン（鶏もも肉）、炒め卵、青梗菜の炒め物を乗せたワンプレートご飯。醤油ベースのブラウンソースが特徴的なマレーシア家庭料理。,https://hakuhodo-hill.com/glpe/photos/scenes-of-meals/webp/SEQ0673_1.webp,,#8B4513,#F5F5DC,#556B2F,#D2691E,#F0E68C,#3B5323,#C8A96E,550,8,2.8,620,720,38,22,85,3.5,1,伝統ローカル料理,1人,自分
674,MY,シャー・アラム,男性,41歳,"RM 10,000 - 11,999",2,既婚,いる,技術職（エンジニア、プログラマーなど）,SEQ0674_1.webp,家族との昼食の写真。3か月くらい前。レストランで,ナシレマ（ご飯・チキン・サンバル・ピーナッツ）、スパゲッティボロネーゼ風、フライドチキンとフライドポテト、パンケーキセット、デザートプレートなど複数料理が並ぶ家族向け食事。,https://hakuhodo-hill.com/glpe/photos/scenes-of-meals/webp/SEQ0674_1.webp,,#F5F0E8,#C0392B,#F4D03F,#8B4513,#2C3E50,#E8C9A0,#3D2B1F,2800,42,9.5,2200,3200,120,115,390,18,4,多国籍料理,4人以上,家族
675,MY,ペタリンジャヤ,男性,42歳,"RM 14,000 - 15,999",3,既婚,いる,管理職（課長クラス以上）,SEQ0675_1.webp,朝食,ナシレマ（Nasi Lemak）。ココナッツミルクで炊いたご飯に、サンバルソース、アンチョビ、ピーナッツ、キュウリのスライス、ゆで卵または揚げ物をトッピングしたマレーシアの国民的朝食料理。,https://hakuhodo-hill.com/glpe/photos/scenes-of-meals/webp/SEQ0675_1.webp,,#F5F0E8,#C8A882,#8B4513,#6B8E23,#D2691E,#F5DEB3,#A0522D,400,4,2.8,320,620,15,22,88,3,1,伝統ローカル料理,1人,自分
676,MY,クアラ・ルンプール,男性,43歳,"RM 2,500 - 2,999",1,未婚,いない,サービス業（理容師、運転手など）,SEQ0676_1.webp,2024年1月25日午後6時の夕食。休憩中に友人と一緒に、会社のシェフが作ってくれた野菜スープを食べている,透明な薄い出汁ベースの野菜スープ。ニンジン、ジャガイモ、大根などの野菜が入ったシンプルなクリアスープ。会社のシェフが作った家庭的な一品。,https://hakuhodo-hill.com/glpe/photos/scenes-of-meals/webp/SEQ0676_1.webp,,#E8F4F8,#E8622A,#F5DEB3,#FFFFFF,#D2B48C,#F0E68C,#A9C8A0,250,4.5,1.2,380,65,1.8,0.5,12,2.5,1,伝統ローカル料理,1人,友達
677,MY,セランゴール州のその他のエリア,男性,43歳,"RM 6,000 - 6,999",2,既婚,いる,大学生（短大含む）、高専生、大学院生,SEQ0677_1.webp,義母と叔父家族を含む家族との朝食。2023年12月31日の夕食時にタンジュンピアンダンで。ナシレマッやロティチャナイなどの料理　,ナシレマッとロティチャナイを中心としたマレーシア伝統料理。バナナの葉に包まれたナシレマッ、紙包みのロティチャナイ、サンバルソース、カレー、各種付け合わせが並ぶ家族向けの朝食セット。,https://hakuhodo-hill.com/glpe/photos/scenes-of-meals/webp/SEQ0677_1.webp,,#8B7355,#4A7C3F,#D2691E,#F5F5DC,#8B4513,#FFFFFF,#C8A96E,1800,18,8.5,980,1650,52,68,215,12,5,伝統ローカル料理,4人以上,家族
678,MY,シャー・アラム,男性,45歳,"RM 10,000 - 11,999",2,既婚,いる,管理職（課長クラス以上）,SEQ0678_1.webp,"昼食
24年10月13日
午後12時45分
ブキッベランタン
仕事の昼休みに昼食に出かけた。
洋食（ラムチョップ）
レストランで食事した。",ラムチョップに濃厚なブラウングレービーソースをかけた洋食プレート。白米、レタス・にんじん・トマトのサラダを添えた定食スタイル。グリルした肉が香ばしく仕上げられている。,https://hakuhodo-hill.com/glpe/photos/scenes-of-meals/webp/SEQ0678_1.webp,,#8B4513,#F5F0DC,#4CAF50,#FF6347,#E8A838,#2C1A0E,#D4C5A0,550,8,2.8,720,780,38,32,82,4.5,1,洋食,1人,自分
679,MY,クアラ・ルンプール,男性,46歳,"RM 7,000 - 7,999",2,既婚,いる,技術職（エンジニア、プログラマーなど）,SEQ0679_1.webp,職場の同僚とのランチデート,ナンドスレストランでのグループランチ。チキン料理をメインにご飯、サラダ、フライドポテトなどが添えられた皿が並ぶ。オレンジジュースやアイスティーなどのドリンクも多数見られる。,https://hakuhodo-hill.com/glpe/photos/scenes-of-meals/webp/SEQ0679_1.webp,,#8B4513,#F4A460,#FFD700,#2E8B57,#D2691E,#FFF8DC,#C0392B,4500,45,18,3200,5800,280,210,520,28,10,洋食,4人以上,同僚
680,MY,クアラ・ルンプール,男性,46歳,"RM 4,500 - 4,999",1,既婚,いる,自由業、専門職（医者、弁護士など）,SEQ0680_1.webp,私の夕食。今日、1月15日の午後8時。スリ ハルタマスにあるペリータというレストランで、家族全員で。ちょうど妻を迎えに行き食料品を買って戻ってきたところ。ペリータのロティチャナイ,ロティチャナイ（マレーシアのインド系薄焼きパン）。小麦粉生地を薄く伸ばして何層にも折り重ね、鉄板で焼いたサクサクのフラットブレッド。カレー2種類とトマトソースを添えたセット。,https://hakuhodo-hill.com/glpe/photos/scenes-of-meals/webp/SEQ0680_1.webp,,#F5E6C8,#C8701A,#E8A020,#D4500A,#8B7355,#F0C040,#C8C8C8,350,4,1.8,320,480,10,22,62,2.5,1,伝統ローカル料理,1人,家族
681,MY,スバンジャヤ,男性,47歳,"RM 10,000 - 11,999",2,既婚,いる,管理職（課長クラス以上）,SEQ0681_1.webp,先週日曜日に、家族と一緒に食べるために私が作った朝食,目玉焼き、アボカドスライス、ローストトマト、炒めマッシュルーム、グリルパプリカ、全粒粉トースト2枚を盛り合わせた西洋スタイルの朝食プレート。コーヒー付き。,https://hakuhodo-hill.com/glpe/photos/scenes-of-meals/webp/SEQ0681_1.webp,,#8BC34A,#F4D03F,#E74C3C,#4A4A4A,#D4A55A,#FFFFFF,#6F4E37,550,6,1.8,980,620,22,34,58,12,1,洋食,1人,家族
682,MY,クアラ・ルンプール,男性,50歳,"RM 5,000 - 5,999",2,既婚,いない,専業主婦・主夫,SEQ0682_1.webp,2024年1月23日午後1時の私の昼食。家で一人で食べた。クアラ クブ バルのカレーラクサ,カレーラクサ：濃厚な赤みがかったスパイシーなカレーブロスに米麺、豚肉や内臓、豆腐などが入ったマレーシアの定番麺料理。ココナッツミルクとスパイスが香る一品。,https://hakuhodo-hill.com/glpe/photos/scenes-of-meals/webp/SEQ0682_1.webp,,#C0392B,#E74C3C,#F5CBA7,#FDFEFE,#922B21,#D5D8DC,#F0B27A,450,4.5,2.8,520,485,22,24,48,2.5,1,伝統ローカル料理,1人,自分
683,MY,セランゴール州のその他のエリア,男性,50歳,"RM 10,000 - 11,999",2,既婚,いる,会社団体役員,SEQ0683_1.webp,"断食前の食事＠朝食
2024年1月15日、月曜日、午前5：45、妻と一緒に
3/4ゆで卵とチョウマメを浸した水にレモンと蜂蜜を混ぜて作った。",3/4熟のゆで卵（半熟卵）とチョウマメ（バタフライピー）の花を浸したお湯にレモンと蜂蜜を加えた紫色のドリンク。断食前の朝食として準備されたシンプルな家庭料理。,https://hakuhodo-hill.com/glpe/photos/scenes-of-meals/webp/SEQ0683_1.webp,,#F5F0E8,#E8A020,#D4A0B0,#8B3A6B,#2D2D2D,#F0E8D0,#C8A878,350,8,0.4,180,145,9,7,10,0.5,1,伝統ローカル料理,1人,恋人・配偶者
684,MY,シャー・アラム,男性,56歳,"RM 10,000 - 11,999",2,既婚,いる,その他,SEQ0684_1.webp,夕食に食べたもの。2023年12月12日金曜日の午後6時30分ごろ。フライドチキンとマッシュポテトとコールスロー。妻と9歳の娘と一緒に食べる夕食のために私が作った。娘がおいしいフライドチキンを食べたがり、レシピを渡された。私は最近料理ができるようになってきたので、それを作った,自家製フライドチキン2ピース（衣がサクサクのから揚げ）、グレービーソースがかかったマッシュポテト、コールスローを盛り合わせた家庭料理。花柄の白いプレートに盛り付け。,https://hakuhodo-hill.com/glpe/photos/scenes-of-meals/webp/SEQ0684_1.webp,,#C8956A,#8B5E3C,#F5F0E0,#D4B483,#E8E0C8,#F0C060,#FAFAF5,450,6,2.8,680,720,42,38,48,3,1,洋食,1人,家族
685,MY,セランゴール州のその他のエリア,男性,56歳,"RM 3,500 - 3,999",1,既婚,いる,技術職（エンジニア、プログラマーなど）,SEQ0685_1.webp,妻、母、子供たちと一緒にエイのご飯、オクラ豆、塩漬け卵を食べた。,マレーシアの伝統料理。エイ（アカエイ）のスパイシートマトカレーソースがけご飯に、オクラと塩漬け卵を添えた一皿。赤いサンバルソースが食欲をそそる。,https://hakuhodo-hill.com/glpe/photos/scenes-of-meals/webp/SEQ0685_1.webp,,#C0392B,#E8D5A3,#F5F5DC,#4A7C4E,#8B6914,#D35400,#FDFEFE,450,6,3.5,620,580,28,18,72,5,1,伝統ローカル料理,1人,家族
